dataset,score,num_clusters,method,trial
darmanis_brain.h5ad,0.3840344753389963,10,spectral,0
darmanis_brain.h5ad,0.6374911182489666,10,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,10,gm,0
darmanis_brain.h5ad,0.42196001195952365,11,spectral,0
darmanis_brain.h5ad,0.5901288839880863,11,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,11,gm,0
darmanis_brain.h5ad,0.38531815359847155,12,spectral,0
darmanis_brain.h5ad,0.5897789865353525,12,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,12,gm,0
darmanis_brain.h5ad,0.37410716780819436,13,spectral,0
darmanis_brain.h5ad,0.5067143250140648,13,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,13,gm,0
darmanis_brain.h5ad,0.31801507722332595,14,spectral,0
darmanis_brain.h5ad,0.5853158540661573,14,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,14,gm,0
darmanis_brain.h5ad,0.27750156943439386,15,spectral,0
darmanis_brain.h5ad,0.6468536583144059,15,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,15,gm,0
darmanis_brain.h5ad,0.26425494806959604,16,spectral,0
darmanis_brain.h5ad,0.5291413062204213,16,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,16,gm,0
darmanis_brain.h5ad,0.22200653141665058,17,spectral,0
darmanis_brain.h5ad,0.5924297239808284,17,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,17,gm,0
darmanis_brain.h5ad,0.2306875398986444,18,spectral,0
darmanis_brain.h5ad,0.6449508658636713,18,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,18,gm,0
darmanis_brain.h5ad,0.2463637496767557,19,spectral,0
darmanis_brain.h5ad,0.6418225844032803,19,kmeans,0
darmanis_brain.h5ad,0.10681511925556278,19,gm,0
darmanis_brain.h5ad,0.3822522790879441,10,spectral,1
darmanis_brain.h5ad,0.6374911182489666,10,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,10,gm,1
darmanis_brain.h5ad,0.3848421867040726,11,spectral,1
darmanis_brain.h5ad,0.5901288839880863,11,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,11,gm,1
darmanis_brain.h5ad,0.40599849378298697,12,spectral,1
darmanis_brain.h5ad,0.5897789865353525,12,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,12,gm,1
darmanis_brain.h5ad,0.37685418683198063,13,spectral,1
darmanis_brain.h5ad,0.5067143250140648,13,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,13,gm,1
darmanis_brain.h5ad,0.360045262779349,14,spectral,1
darmanis_brain.h5ad,0.5853158540661573,14,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,14,gm,1
darmanis_brain.h5ad,0.26725793821457644,15,spectral,1
darmanis_brain.h5ad,0.6468536583144059,15,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,15,gm,1
darmanis_brain.h5ad,0.2575969090991037,16,spectral,1
darmanis_brain.h5ad,0.5291413062204213,16,kmeans,1
darmanis_brain.h5ad,0.10681511925556278,16,gm,1
darmanis_brain.h5ad,0.2506304727994802,17,spectral,1
darmanis_brain.h5ad,0.5924297239808284,17,kmeans,1
