dataset,score,method,num_clusters
darmanis_brain.h5ad,0.6818111184527845,reduced,5
darmanis_brain.h5ad,0.6366223055509477,base,4
darmanis_brain.h5ad,0.6366223055509477,ground_truth,9
romanov_brain.h5ad,0.7167311232610863,reduced,6
romanov_brain.h5ad,0.4992500591487074,base,10
romanov_brain.h5ad,0.4992500591487074,ground_truth,7
zhong_prefrontal.h5ad,0.3607196497317656,reduced,8
zhong_prefrontal.h5ad,0.11744881855385549,base,7
zhong_prefrontal.h5ad,0.11744881855385549,ground_truth,7
lawlow_pancreas.h5ad,0.7236568915240066,reduced,3
lawlow_pancreas.h5ad,0.090749615299317,base,8
lawlow_pancreas.h5ad,0.090749615299317,ground_truth,8
ReprocessedAllenData.h5ad,0.3588738075383085,reduced,4
ReprocessedAllenData.h5ad,0.3523366688481094,base,5
ReprocessedAllenData.h5ad,0.3523366688481094,ground_truth,18
hermann_spermatogenesis.h5ad,0.4095235336975396,reduced,5
hermann_spermatogenesis.h5ad,0.2600409449213042,base,6
hermann_spermatogenesis.h5ad,0.2600409449213042,ground_truth,12
